wavelength,transition,gf,E2_cm-1,E2_J
4472.929,F,4.020E-04,45289.8248,8.9965783E-19
4489.183,F,1.200E-03,45079.9019,8.9548783E-19
4491.405,F,2.760E-03,45289.8248,8.9965783E-19
4508.288,F,4.160E-03,45206.4704,8.9800204E-19
4515.339,F,3.890E-03,45079.9019,8.9548783E-19
4520.224,F,2.500E-03,44753.8179,8.8901035E-19
4522.634,F,9.600E-03,45019.1916,8.9428185E-19
4534.168,F,3.320E-04,45079.9019,8.9548783E-19
4541.524,F,8.800E-04,45044.1916,8.9477846E-19
4549.474,F,1.100E-02,44784.7859,8.8962551E-19
4555.893,F,5.200E-03,44753.8179,8.8901035E-19
4576.340,F,1.510E-03,44784.7859,8.8962551E-19
4582.835,F,7.800E-04,44753.8179,8.8901035E-19
4583.837,F,1.440E-02,44396.9051,8.8192047E-19
4620.521,F,8.320E-04,44446.9051,8.8291369E-19
4629.339,F,4.900E-03,44232.5398,8.7865544E-19
4666.758,F,6.020E-04,44232.5398,8.7865544E-19
4993.358,F,3.260E-04,42658.2444,8.4738291E-19
5146.127,F,1.220E-04,42237.033,8.3901578E-19